TIMESTAMP,BYTE0,BYTE1,BYTE2,BYTE3,BYTE4,BYTE5,BYTE6,BYTE7
85159,0,0,0,0,0,0,0,0
85259,0,0,0,0,0,0,0,0
85359,0,0,0,0,0,0,0,0
88920,0,0,0,0,0,0,0,0
89520,0,0,0,0,0,0,0,0
89879,0,0,0,0,0,0,0,0
90040,0,0,0,0,0,0,0,0
90259,0,0,0,0,0,0,0,0
90519,0,0,0,0,0,0,0,0
90739,0,0,0,0,0,0,0,0
91119,0,0,0,0,0,0,0,0
91499,0,0,0,0,0,0,0,0
91700,0,0,0,0,0,0,0,0
91899,0,0,0,0,0,0,0,0
92800,0,0,0,0,0,0,0,0
92900,0,0,0,0,0,0,0,0
93060,0,0,0,0,0,0,0,0
93219,0,0,0,0,0,0,0,0
93379,0,0,0,0,0,0,0,0
93539,0,0,0,0,0,0,0,0
93799,0,0,0,0,0,0,0,0
94119,0,0,0,0,0,0,0,0
94380,0,0,0,0,0,0,0,0
94539,0,0,0,0,0,0,0,0
94899,0,0,0,0,0,0,0,0
95259,0,0,0,0,0,0,0,0
95419,0,0,0,0,0,0,0,0
95519,0,0,0,0,0,0,0,0
95619,0,0,0,0,0,0,0,0
96139,0,0,0,0,0,0,0,0
96239,0,0,0,0,0,0,0,0
96439,0,0,0,0,0,0,0,0
97059,0,0,0,0,0,0,0,0
97219,0,0,0,0,0,0,0,0
97379,0,0,0,0,0,0,0,0
97599,0,0,0,0,0,0,0,0
97699,0,0,0,0,0,0,0,0
97800,0,0,0,0,0,0,0,0
98220,0,0,0,0,0,0,0,0
98419,0,0,0,0,0,0,0,0
98520,0,0,0,0,0,0,0,0
98619,0,0,0,0,0,0,0,0
98820,0,0,0,0,0,0,0,0
98919,0,0,0,0,0,0,0,0
99619,0,0,0,0,0,0,0,0
99719,0,0,0,0,0,0,0,0
99819,0,0,0,0,0,0,0,0
100019,0,0,0,0,0,0,0,0
100240,0,0,0,0,0,0,0,0
100360,0,0,0,0,0,0,0,0
100639,0,0,0,0,0,0,0,0
100759,0,0,0,0,0,0,0,0
100819,0,0,0,0,0,0,0,0
101059,0,0,0,0,0,0,0,0
101359,0,0,0,0,0,0,0,0
101659,0,0,0,0,0,0,0,0
101779,0,0,0,0,0,0,0,0
101839,0,0,0,0,0,0,0,0
101899,0,0,0,0,0,0,0,0
101959,0,0,0,0,0,0,0,0
102020,0,0,0,0,0,0,0,0
102079,0,0,0,0,0,0,0,0
102139,0,0,0,0,0,0,0,0
102199,0,0,0,0,0,0,0,0
102259,0,0,0,0,0,0,0,0
102320,0,0,0,0,0,0,0,0
102379,0,0,0,0,0,0,0,0
102439,0,0,0,0,0,0,0,0
102559,0,0,0,0,0,0,0,0
102620,0,0,0,0,0,0,0,0
102679,0,0,0,0,0,0,0,0
102739,0,0,0,0,0,0,0,0
102799,0,0,0,0,0,0,0,0
102859,0,0,0,0,0,0,0,0
102920,0,0,0,0,0,0,0,0
102979,0,0,0,0,0,0,0,0
103040,0,0,0,0,0,0,0,0
103099,0,0,0,0,0,0,0,0
103159,0,0,0,0,0,0,0,0
103219,0,0,0,0,0,0,0,0
103340,0,0,0,0,0,0,0,0
103459,0,0,0,0,0,0,0,0
103519,0,0,0,0,0,0,0,0
103579,0,0,0,0,0,0,0,0
103860,0,0,0,0,0,0,0,0
103919,0,0,0,0,0,0,0,0
103980,0,0,0,0,0,0,0,0
104039,0,0,0,0,0,0,0,0
104159,0,0,0,0,0,0,0,0
104280,0,0,0,0,0,0,0,0
104340,0,0,0,0,0,0,0,0
104620,0,0,0,0,0,0,0,0
104960,0,0,0,0,0,0,0,0
105020,0,0,0,0,0,0,0,0
105160,0,0,0,0,0,0,0,0
105360,0,0,0,0,0,0,0,0
105560,0,0,0,0,0,0,0,0
105639,0,0,0,0,0,0,0,0
105759,0,0,0,0,0,0,0,0
105960,0,0,0,0,0,0,0,0
106160,0,0,0,0,0,0,0,0
106220,0,0,0,0,0,0,0,0
106300,0,0,0,0,0,0,0,0
106359,0,0,0,0,0,0,0,0
106420,0,0,0,0,0,0,0,0
106500,0,0,0,0,0,0,0,0
106559,0,0,0,0,0,0,0,0
106619,0,0,0,0,0,0,0,0
106680,0,0,0,0,0,0,0,0
106759,0,0,0,0,0,0,0,0
106819,0,0,0,0,0,0,0,0
106880,0,0,0,0,0,0,0,0
106940,0,0,0,0,0,0,0,0
107079,0,0,0,0,0,0,0,0
107140,0,0,0,0,0,0,0,0
107539,0,0,0,0,0,0,0,0
107799,0,0,0,0,0,0,0,0
107859,0,0,0,0,0,0,0,0
107920,0,0,0,0,0,0,0,0
107979,0,0,0,0,0,0,0,0
108940,0,0,0,0,0,0,0,0
109740,0,0,0,0,0,0,0,0
109799,0,0,0,0,0,0,0,0
110000,0,0,0,0,0,0,0,0
110199,0,0,0,0,0,0,0,0
110259,0,0,0,0,0,0,0,0
110319,0,0,0,0,0,0,0,0
110380,0,0,0,0,0,0,0,0
110439,0,0,0,0,0,0,0,0
110499,0,0,0,0,0,0,0,0
110699,29,0,28,0,28,0,29,0
110759,36,0,36,0,36,0,36,0
110899,51,0,50,0,50,0,50,0
110959,58,0,57,0,58,0,57,0
111299,91,0,90,0,92,0,89,0
111439,96,0,92,0,97,0,93,0
111580,88,0,84,0,88,0,84,0
111659,84,0,80,0,83,0,78,0
111998,69,0,63,0,67,0,63,0
112199,66,0,59,0,64,0,57,0
112399,61,0,55,0,59,0,54,0
112599,56,0,51,0,55,0,50,0
112799,54,0,47,0,52,0,46,0
112939,51,0,45,0,49,0,44,0
113278,46,0,40,0,45,0,39,0
113918,42,0,35,0,39,0,33,0
113960,42,0,35,0,40,0,33,0
114021,43,0,35,0,40,0,33,0
114080,43,0,36,0,40,0,34,0
114100,43,0,36,0,40,0,35,0
114159,43,0,37,0,41,0,35,0
114221,43,0,37,0,41,0,35,0
114280,42,0,35,0,40,0,35,0
114359,40,0,34,0,38,0,33,0
114420,38,0,33,0,36,0,31,0
114480,36,0,31,0,35,0,30,0
114619,31,0,27,0,30,0,26,0
114661,30,0,27,0,30,0,25,0
114679,30,0,25,0,28,0,25,0
114720,28,0,25,0,27,0,23,0
114860,24,0,21,0,24,0,20,0
114920,23,0,20,0,23,0,19,0
114980,21,0,20,0,21,0,18,0
115059,20,0,18,0,20,0,17,0
115120,18,0,17,0,19,0,16,0
115161,18,0,15,0,17,0,14,0
115179,18,0,15,0,17,0,14,0
115221,17,0,15,0,17,0,14,0
115239,17,0,15,0,16,0,14,0
115280,16,0,14,0,16,0,13,0
115299,16,0,14,0,16,0,13,0
115359,16,0,14,0,15,0,13,0
115420,16,0,14,0,15,0,12,0
115460,16,0,14,0,15,0,13,0
115521,17,0,14,0,16,0,13,0
115539,17,0,14,0,16,0,13,0
115599,19,0,14,0,17,0,14,0
115659,20,0,15,0,18,0,15,0
115721,21,0,17,0,20,0,17,0
115739,21,0,19,0,22,0,17,0
115800,21,0,19,0,23,0,18,0
115860,22,0,20,0,23,0,19,0
115920,24,0,20,0,23,0,18,0
115981,26,0,20,0,24,0,18,0
115999,26,0,21,0,24,0,18,0
116060,30,0,23,0,27,0,20,0
116120,31,0,25,0,29,0,21,0
116140,33,0,27,0,31,0,21,0
116200,35,0,28,0,33,0,23,0
116339,42,0,32,0,40,0,27,0
116540,48,0,41,0,46,0,35,0
116679,56,0,40,0,49,0,35,0
116819,51,0,41,0,46,0,36,0
116959,51,0,40,0,46,0,36,0
117359,55,0,45,0,50,0,40,0
117420,55,0,45,0,50,0,40,0
117480,55,0,46,0,50,0,40,0
117499,55,0,46,0,50,0,40,0
117560,55,0,46,0,50,0,40,0
117620,55,0,46,0,51,0,40,0
117681,56,0,46,0,51,0,41,0
117699,56,0,46,0,52,0,41,0
117760,57,0,46,0,52,0,41,0
117820,58,0,47,0,54,0,42,0
117880,60,0,48,0,55,0,43,0
117899,60,0,49,0,55,0,43,0
117959,62,0,50,0,57,0,45,0
118020,63,0,51,0,59,0,46,0
118080,65,0,52,0,60,0,48,0
118099,66,0,53,0,61,0,48,0
118160,67,0,54,0,62,0,49,0
118220,67,0,54,0,62,0,49,0
118239,66,0,53,0,62,0,49,0
118280,65,0,52,0,60,0,47,0
118299,64,0,51,0,59,0,46,0
118420,58,0,47,0,54,0,43,0
118480,56,0,46,0,53,0,41,0
118499,56,0,46,0,53,0,41,0
118621,57,0,45,0,53,0,40,0
118639,57,0,45,0,53,0,40,0
118680,57,0,45,0,53,0,41,0
118700,57,0,45,0,53,0,41,0
118820,55,0,44,0,50,0,41,0
118840,55,0,44,0,48,0,40,0
118881,54,0,43,0,38,0,39,0
118979,50,0,40,0,15,0,36,0
119021,49,0,38,0,12,0,36,0
119040,47,0,38,0,0,0,36,0
119081,46,0,37,0,0,0,34,0
119221,39,0,31,0,0,0,29,0
119239,39,0,31,0,0,0,29,0
119280,38,0,30,0,0,0,28,0
119300,36,0,30,0,0,0,28,0
119341,35,0,29,0,0,0,27,0
119419,32,0,27,0,0,0,25,0
119480,31,0,25,0,0,0,23,0
119540,29,0,24,0,0,0,22,0
119559,29,0,24,0,0,0,22,0
119619,27,0,22,0,0,0,20,0
119680,26,0,21,0,0,0,19,0
119720,25,0,20,0,0,0,19,0
119740,25,0,20,0,0,0,18,0
119781,24,0,19,0,0,0,18,0
119879,23,0,19,0,0,0,18,0
119920,24,0,19,0,0,0,18,0
119939,24,0,19,0,0,0,18,0
119981,25,0,20,0,0,0,19,0
119999,25,0,20,0,0,0,19,0
120040,26,0,21,0,0,0,20,0
120059,28,0,21,0,0,0,20,0
120120,29,0,24,0,0,0,23,0
120179,33,0,26,0,0,0,25,0
120220,34,0,28,0,0,0,26,0
120239,34,0,28,0,0,0,26,0
120281,38,0,29,0,0,0,28,0
120299,38,0,31,0,0,0,28,0
120340,40,0,32,0,0,0,29,0
120358,40,0,32,0,0,0,31,0
120419,43,0,35,0,0,0,32,0
120479,44,0,36,0,0,0,35,0
120520,45,0,38,0,0,0,35,0
120540,45,0,38,0,0,0,36,0
120599,46,0,38,0,41,0,36,0
120641,47,0,38,0,41,0,36,0
120659,47,0,38,0,42,0,36,0
120720,48,0,40,0,43,0,37,0
120779,50,0,43,0,46,0,40,0
120821,53,0,44,0,48,0,41,0
120840,55,0,45,0,50,0,42,0
120941,60,0,51,0,56,0,47,0
120960,61,0,51,0,57,0,49,0
121020,65,0,55,0,59,0,53,0
121039,66,0,56,0,61,0,53,0
121080,68,0,59,0,64,0,55,0
121100,71,0,59,0,65,0,56,0
121141,73,0,61,0,68,0,58,0
121159,74,0,62,0,69,0,59,0
121220,78,0,64,0,72,0,62,0
121280,81,0,67,0,75,0,65,0
121298,83,0,69,0,76,0,66,0
121340,85,0,71,0,79,0,67,0
121359,86,0,72,0,80,0,68,0
121419,91,0,74,0,83,0,74,0
121480,93,0,78,0,87,0,79,0
121540,96,0,80,0,88,0,68,0
121559,97,0,80,0,89,0,70,0
121619,98,0,79,0,92,0,71,0
121660,99,0,80,0,94,0,74,0
121679,99,0,81,0,94,0,75,0
121720,100,0,84,0,96,0,78,0
121740,101,0,85,0,96,0,77,0
121781,103,0,86,0,97,0,78,0
121799,104,0,86,0,98,0,77,0
121841,106,0,87,0,100,0,77,0
121860,107,0,87,0,100,0,78,0
121878,109,0,87,0,100,0,77,0
121920,110,0,89,0,102,0,77,0
121961,110,0,90,0,102,0,78,0
121979,110,0,90,0,103,0,80,0
122021,111,0,91,0,104,0,81,0
122040,111,0,91,0,105,0,81,0
122058,112,0,92,0,106,0,82,0
122081,114,0,92,0,107,0,83,0
122119,116,0,94,0,109,0,84,0
122141,118,0,95,0,110,0,85,0
122160,119,0,96,0,110,0,86,0
122179,120,0,96,0,111,0,87,0
122220,122,0,98,0,112,0,88,0
122238,123,0,100,0,113,0,88,0
122279,124,0,101,0,115,0,89,0
122299,126,0,102,0,116,0,89,0
122340,128,0,103,0,118,0,90,0
122359,129,0,104,0,119,0,91,0
122420,131,0,106,0,123,0,94,0
122461,134,0,108,0,124,0,97,0
122479,134,0,109,0,126,0,97,0
122521,137,0,111,0,128,0,99,0
122540,138,0,112,0,129,0,101,0
122600,142,0,116,0,132,0,103,0
122641,145,0,118,0,135,0,106,0
122659,147,0,118,0,137,0,106,0
122720,150,0,122,0,140,0,109,0
122761,151,0,124,0,141,0,112,0
122779,152,0,126,0,143,0,113,0
122821,153,0,128,0,144,0,115,0
122840,154,0,128,0,146,0,116,0
122882,157,0,130,0,149,0,118,0
122918,159,0,131,0,150,0,120,0
122941,159,0,132,0,151,0,121,0
122979,161,0,134,0,153,0,124,0
123020,163,0,136,0,155,0,126,0
123038,163,0,137,0,156,0,127,0
123079,166,0,140,0,158,0,128,0
123099,168,0,140,0,159,0,130,0
123121,169,0,142,0,160,0,131,0
123140,169,0,142,0,160,0,132,0
123182,172,0,144,0,163,0,133,0
123218,174,0,146,0,165,0,136,0
123279,176,0,149,0,168,0,139,0
123320,178,0,150,0,170,0,142,0
123338,179,0,152,0,172,0,143,0
123379,180,0,153,0,173,0,145,0
123399,181,0,155,0,174,0,146,0
123421,182,0,155,0,175,0,147,0
123440,182,0,156,0,176,0,148,0
123459,184,0,157,0,177,0,149,0
123518,185,0,160,0,179,0,153,0
123559,187,0,161,0,182,0,154,0
123579,188,0,162,0,182,0,156,0
123620,189,0,164,0,183,0,158,0
123638,189,0,165,0,184,0,160,0
123679,192,0,167,0,187,0,161,0
123699,192,0,168,0,187,0,162,0
123721,193,0,169,0,188,0,163,0
123740,195,0,171,0,189,0,164,0
123759,196,0,171,0,189,0,165,0
123819,198,0,173,0,191,0,168,0
123859,199,0,175,0,193,0,170,0
123879,200,0,177,0,194,0,171,0
123920,200,0,179,0,195,0,174,0
123938,201,0,179,0,196,0,176,0
123961,202,0,180,0,198,0,177,0
123980,203,0,182,0,200,0,178,0
123999,203,0,182,0,200,0,179,0
124041,205,0,184,0,201,0,181,0
124059,205,0,186,0,202,0,182,0
124120,207,0,188,0,204,0,186,0
124138,209,0,189,0,204,0,187,0
124161,209,0,190,0,206,0,187,0
124180,209,0,190,0,206,0,188,0
124198,210,0,192,0,206,0,187,0
124221,210,0,192,0,207,0,189,0
124240,211,0,193,0,207,0,190,0
124259,212,0,194,0,208,0,190,0
124319,212,0,195,0,211,0,194,0
124360,214,0,197,0,212,0,195,0
124380,214,0,198,0,211,0,196,0
124421,216,0,199,0,212,0,197,0
124440,216,0,200,0,212,0,198,0
124459,216,0,201,0,213,0,198,0
124481,217,0,200,0,214,0,198,0
124519,217,0,202,0,215,0,199,0
124560,217,0,204,0,215,0,200,0
124578,217,0,204,0,216,0,201,0
124620,219,0,205,0,217,0,202,0
124639,220,0,205,0,217,0,203,0
124680,219,0,206,0,218,0,203,0
124699,220,0,206,0,217,0,204,0
124741,219,0,207,0,217,0,204,0
124760,219,0,207,0,218,0,204,0
124820,219,0,207,0,217,0,204,0
124838,220,0,207,0,217,0,205,0
124861,220,0,207,0,218,0,205,0
124879,219,0,207,0,218,0,204,0
124899,219,0,206,0,219,0,204,0
124921,219,0,207,0,218,0,204,0
124940,220,0,207,0,218,0,204,0
124959,220,0,207,0,218,0,204,0
125020,218,0,206,0,216,0,205,0
125061,218,0,207,0,217,0,204,0
125079,216,0,206,0,215,0,204,0
125121,215,0,205,0,214,0,203,0
125139,216,0,205,0,214,0,203,0
125159,214,0,204,0,213,0,202,0
125181,215,0,204,0,213,0,201,0
125219,214,0,203,0,212,0,201,0
125260,214,0,203,0,212,0,201,0
125279,216,0,203,0,213,0,201,0
125321,216,0,204,0,213,0,202,0
125339,215,0,205,0,214,0,203,0
125380,218,0,206,0,216,0,204,0
125400,218,0,207,0,216,0,206,0
125441,218,0,208,0,217,0,205,0
125459,218,0,209,0,217,0,206,0
125519,218,0,208,0,217,0,207,0
125560,219,0,208,0,217,0,207,0
125579,219,0,208,0,217,0,207,0
125621,220,0,208,0,218,0,208,0
125639,221,0,209,0,219,0,208,0
125680,222,0,212,0,220,0,209,0
125700,224,0,212,0,221,0,210,0
125741,224,0,212,0,223,0,210,0
